date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:44:43	36793/36793	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jan%202023%2012:44:42%20GMT	https://plaiaundi.hezkuntza.net/es/historia	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/historia.html	(from https://plaiaundi.hezkuntza.net/es/)
13:44:44	31547/31547	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jan%202023%2012:44:43%20GMT	https://plaiaundi.hezkuntza.net/es/saludo	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/saludo.html	(from https://plaiaundi.hezkuntza.net/es/)
13:44:45	37092/37092	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jan%202023%2012:44:44%20GMT	https://plaiaundi.hezkuntza.net/es/objetivos	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/objetivos.html	(from https://plaiaundi.hezkuntza.net/es/)
13:44:45	30041/30041	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jan%202023%2012:44:44%20GMT	https://plaiaundi.hezkuntza.net/es/identidad	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/identidad.html	(from https://plaiaundi.hezkuntza.net/es/)
13:44:45	28937/28937	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jan%202023%2012:44:45%20GMT	https://plaiaundi.hezkuntza.net/es/politica-calidad	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/politica-calidad.html	(from https://plaiaundi.hezkuntza.net/es/)
13:44:47	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2016%20Jan%202023%2012:44:47%20GMT	https://plaiaundi.hezkuntza.net/es/matriculas	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/matriculas	(from https://plaiaundi.hezkuntza.net/es/)
13:44:49	40202/40202	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jan%202023%2012:44:47%20GMT	https://plaiaundi.hezkuntza.net/es/oferta-formativa	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/oferta-formativa.html	(from https://plaiaundi.hezkuntza.net/es/)
13:44:49	28668/28668	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jan%202023%2012:44:48%20GMT	https://plaiaundi.hezkuntza.net/es/hobetuzlanbide	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/hobetuzlanbide.html	(from https://plaiaundi.hezkuntza.net/es/)
13:44:50	44789/44789	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jan%202023%2012:44:45%20GMT	https://plaiaundi.hezkuntza.net/es/albumes	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/albumes.html	(from https://plaiaundi.hezkuntza.net/es/)
13:44:52	42512/42512	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jan%202023%2012:44:50%20GMT	https://plaiaundi.hezkuntza.net/es/acreditacion-competencias	C:/Users/plaiaundi/Downloads/a/A/plaiaundi.hezkuntza.net/es/acreditacion-competencias.html	(from https://plaiaundi.hezkuntza.net/es/)
